年,月,日,描述,类别,金额,纬度,经度
2023,3,7,面包,💼公费支出,JP¥680,33.88595912143020,130.881216097745
2023,3,7,地铁,💼公费支出,JP¥240,35.15943976915270,136.9357046009850
2023,3,7,公交,💼公费支出,JP¥210,35.15943976915270,136.9357046009850
2023,3,8,超市,🛒生活费,JP¥2280,35.15338402335530,136.9503840361530
2023,3,9,包子,🛒生活费,JP¥140,35.15393099657320,136.9629666075120
2023,3,9,食堂,🛒生活费,JP¥550,35.15351477986730,136.9627544567220
2023,3,9,咖啡,🛒生活费,JP¥90,35.1539007208014,136.9630814247400
2023,3,10,食堂,🛒生活费,JP¥550,35.15349404828680,136.9628206674420
2023,3,10,鸡蛋,🛒生活费,CN¥10.23,35.15384093937210,136.9630079477030
2023,3,10,超市,🛒生活费,JP¥911,35.1520931498889,136.9581305223210
2023,3,11,交通,🛒生活费,JP¥620,35.15212898589600,136.9583589649870
2023,3,11,磁铁挂钩,🛒生活费,JP¥210,35.16882512060530,136.9068601909210
2023,3,11,看眼睛,💊健康医药费,JP¥2240,35.16115557704300,136.97173122608000
2023,3,11,KFC,🛒生活费,JP¥950,35.16397414791390,136.9632795412620
2023,3,11,猕猴桃,🛒生活费,JP¥429,35.13702665739260,136.9633508913130
2023,3,11,坚果,🛒生活费,JP¥1706,35.13655888999110,136.9630887231020
2023,3,11,毛巾,🛒生活费,JP¥547,35.13658681441960,136.9629755988240
2023,3,11,胶带,🛒生活费,JP¥294,35.13691606210930,136.9632885802300
2023,3,11,胶带,👔服饰•趣味费,JP¥270,35.13719248198760,136.9632778796930
2023,3,11,超市,🛒生活费,JP¥1991,35.15338537225860,136.950385170794
2023,3,11,柔软抽纸4提,🛒生活费,JP¥2042,35.1533139754789,136.9568543657440
2023,3,11,消臭喷雾,🛒生活费,JP¥288,35.15389051251510,136.9630076343070
2023,3,12,厨房纸,🛒生活费,JP¥305,35.15342298513740,136.9504095859960
2023,3,12,しーさー背包,👔服饰•趣味费,JP¥34100,35.15196860771180,136.9581036084680
2023,3,13,食堂,🛒生活费,JP¥474,35.15351671191640,136.9628160647720
2023,3,13,咖啡,🛒生活费,JP¥110,35.154025683832,136.9630462769250
2023,3,14,便当,🛒生活费,CN¥20.15,35.15427026901080,136.9628537874400
2023,3,15,大笔袋,👔服饰•趣味费,JP¥2774,35.15211402618120,136.9580888600840
2023,3,15,垃圾袋,🛒生活费,JP¥360,35.1532721672495,136.950248500704
2023,3,15,超市,🛒生活费,JP¥1042,35.15353715516180,136.9504021481960
2023,3,16,食堂,🛒生活费,JP¥682,35.15355248187970,136.9628142577060
2023,3,16,果汁,🛒生活费,JP¥128,35.1533820524235,136.9629826627280
2023,3,16,咖啡,🛒生活费,JP¥110,35.15396255825010,136.9630784215760
2023,3,17,看眼睛,💊健康医药费,JP¥610,35.16109729654640,136.9716708083980
2023,3,17,食堂,🛒生活费,JP¥539,35.15562610593580,136.9691822073660
2023,3,17,咖啡,🛒生活费,JP¥110,35.15397513101810,136.963106655763
2023,3,18,打孔器,👔服饰•趣味费,JP¥2599,35.15225426297180,136.95822112275
2023,3,18,绑线,🛒生活费,JP¥110,35.16892123195780,136.9064331579350
